Fig,characters,ext,citation
185,male P5,1,Andronov 2002. Fig. 217
186,male P5,1,Andronov 2002. Fig. 421
187,male P5,1,Bradford-Grieve 1994. fig. 75E
188,male P5,1,Park 1970. fig. 12
189,male P5,1,Park 1975. fig. 8j
190,male P5,1,Brodsky et al. 1983. fig. 103
191,male P5,,
192,male P5,1,Shih et al. 1981. fig. 108
193,rostrum,,
194,female genital double-somite and spine,,
195,antenna,1,Roe 1975. fig. 7b
196,antenna,,
197,"female, dorsal view with well-developed appendicular caudal setae",,
198,rostrum,1,Tanaka 1957. fig. 53d
199,maxillule,1,Deevey 1974. fig. 15i
200,antenna,1,Park 1995. fig. 1k
201,antenna,1,Park 1995. fig. 19j
202,male P5,,
203,male P5,,
204,male P5,,
205,male P5,,
206,rostrum,1,Park 1978. fig. 63F
207,female P5,1,"Chen & Zhang 1965. pl. 51, fig. 5"
208,male P5,,
209,female P5,,
210,male P5,,
211,female P5,1,"Chen & Zhang 1965. pl. 20, fig. 8"
212,male P5,1,"Chen & Zhang 1965. pl. 20, fig. 8"
213,female P5,,
214,"male P5, posterior view",,
215,female P5,,
216,male P5,,
217,female P5,,
218,male P5,,
219,female P5,,
220,"male P5, posterior view",,
221,"female, dorsal view",,
222,female P5,,
223,"female, dorsal view",,
224,female P5,,
225,"male, lateral view showing right antenna",,
226,"male, dorsal view showing hump on urosomite 3",,
227,male P5,,
228,"male, dorsal view",,
229,male P5,,
